Drug_ID,Drug_Name,Drug_Generic_Name,Drug_Manufacture_Name,Drug_Form,Drug_Strength
1,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE,USA,SOLUTION/DROPS;OPHTHALMIC,1%
2,SULFAPYRIDINE,SULFAPYRIDINE,USA,TABLET;ORAL,500MG
3,LIQUAEMIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"20,000 UNITS/ML"
4,LIQUAEMIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"40,000 UNITS/ML"
5,LIQUAEMIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"5,000 UNITS/ML"
6,LIQUAEMIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"1,000 UNITS/ML"
7,LIQUAEMIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"10,000 UNITS/ML"
8,LIQUAEMIN LOCK FLUSH,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,100 UNITS/ML
9,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"1,000 UNITS/ML"
10,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"5,000 UNITS/ML"
11,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"10,000 UNITS/ML"
12,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"1,000 UNITS/ML"
13,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"5,000 UNITS/ML"
14,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"10,000 UNITS/ML"
15,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,USA,INJECTABLE;INJECTION,EQ 1MG BASE/ML
16,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,USA,INJECTABLE;INJECTION,EQ 0.2MG BASE/ML
17,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,USA,INJECTABLE;INJECTION,EQ 0.1MG BASE/ML
18,BUTISOL SODIUM,BUTABARBITAL SODIUM,USA,TABLET;ORAL,15MG 
19,BUTISOL SODIUM,BUTABARBITAL SODIUM,USA,TABLET;ORAL,50MG 
20,BUTISOL SODIUM,BUTABARBITAL SODIUM,USA,TABLET;ORAL,30MG
21,BUTISOL SODIUM,BUTABARBITAL SODIUM,USA,TABLET;ORAL,100MG
22,DOCA,DESOXYCORTICOSTERONE ACETATE,USA,INJECTABLE;INJECTION,5MG/ML
23,VERARD,VERARD,USA,UNKNOWN,UNKNOWN
24,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE,USA,TABLET;ORAL,125MG
25,MENADIONE,MENADIONE,USA,TABLET;ORAL,5MG
26,INULIN AND SODIUM CHLORIDE,INULIN,USA,INJECTABLE;INJECTION,100MG/ML
27,AMINOPHYLLIN,AMINOPHYLLINE,USA,TABLET;ORAL,100MG
28,AMINOPHYLLIN,AMINOPHYLLINE,USA,TABLET;ORAL,200MG
29,BENSULFOID,SULFUR,USA,POWDER;TOPICAL,33.32%
30,ORETON METHYL,METHYLTESTOSTERONE,USA,TABLET;ORAL,10MG
31,ORETON METHYL,METHYLTESTOSTERONE,USA,TABLET;ORAL,25MG
32,METANDREN,METHYLTESTOSTERONE,USA,"TABLET;BUCCAL, SUBLINGUAL",10MG
33,METANDREN,METHYLTESTOSTERONE,USA,"TABLET;BUCCAL, SUBLINGUAL",25MG
34,METANDREN,METHYLTESTOSTERONE,USA,"TABLET;BUCCAL, SUBLINGUAL",5MG
35,METANDREN,METHYLTESTOSTERONE,USA,"TABLET;BUCCAL, SUBLINGUAL",10MG
36,PITRESSIN TANNATE,VASOPRESSIN TANNATE,USA,INJECTABLE;INJECTION,5PRESSOR
37,DRISDOL,ERGOCALCIFEROL,USA,CAPSULE;ORAL,"50,000 IU"
38,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,USA,INJECTABLE;INJECTION,5MG/ML
39,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,USA,INJECTABLE;INJECTION,10MG/ML
